"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 10 12:38:48 UTC 2026","Tue Mar 10 12:39:47 UTC 2026","59493","","Audit case creation","","User creates new audit case for client","","User creates new audit case for client",""
"broken","Tue Mar 10 12:39:47 UTC 2026","Tue Mar 10 12:40:00 UTC 2026","12349","","Client management","","Create new client","","Create new client",""
